file_name,img_path,mask_path,whites,mask
TCGA_CS_6667_20011105_9,./archive/kaggle_3m/TCGA_CS_6667_20011105/TCGA_CS_6667_20011105_1.tif,./archive/kaggle_3m/TCGA_CS_6667_20011105/TCGA_CS_6667_20011105_1_mask.tif,0,0
TCGA_CS_6667_20011105_8,./archive/kaggle_3m/TCGA_DU_8164_19970111/TCGA_DU_8164_19970111_1.tif,./archive/kaggle_3m/TCGA_DU_8164_19970111/TCGA_DU_8164_19970111_1_mask.tif,0,0
TCGA_CS_6667_20011105_16,./archive/kaggle_3m/TCGA_DU_8168_19970503/TCGA_DU_8168_19970503_1.tif,./archive/kaggle_3m/TCGA_DU_8168_19970503/TCGA_DU_8168_19970503_1_mask.tif,0,0
TCGA_CS_6667_20011105_17,./archive/kaggle_3m/TCGA_DU_7300_19910814/TCGA_DU_7300_19910814_1.tif,./archive/kaggle_3m/TCGA_DU_7300_19910814/TCGA_DU_7300_19910814_1_mask.tif,0,0
TCGA_CS_6667_20011105_15,./archive/kaggle_3m/TCGA_HT_7475_19970918/TCGA_HT_7475_19970918_1.tif,./archive/kaggle_3m/TCGA_HT_7475_19970918/TCGA_HT_7475_19970918_1_mask.tif,0,0
TCGA_CS_6667_20011105_14,./archive/kaggle_3m/TCGA_DU_7010_19860307/TCGA_DU_7010_19860307_1.tif,./archive/kaggle_3m/TCGA_DU_7010_19860307/TCGA_DU_7010_19860307_1_mask.tif,0,0
TCGA_CS_6667_20011105_10,./archive/kaggle_3m/TCGA_FG_6688_20020215/TCGA_FG_6688_20020215_1.tif,./archive/kaggle_3m/TCGA_FG_6688_20020215/TCGA_FG_6688_20020215_1_mask.tif,0,0
TCGA_CS_6667_20011105_11,./archive/kaggle_3m/TCGA_DU_8167_19970402/TCGA_DU_8167_19970402_1.tif,./archive/kaggle_3m/TCGA_DU_8167_19970402/TCGA_DU_8167_19970402_1_mask.tif,0,0
TCGA_CS_6667_20011105_13,./archive/kaggle_3m/TCGA_DU_7304_19930325/TCGA_DU_7304_19930325_1.tif,./archive/kaggle_3m/TCGA_DU_7304_19930325/TCGA_DU_7304_19930325_1_mask.tif,0,0
TCGA_CS_6667_20011105_12,./archive/kaggle_3m/TCGA_HT_7684_19950816/TCGA_HT_7684_19950816_1.tif,./archive/kaggle_3m/TCGA_HT_7684_19950816/TCGA_HT_7684_19950816_1_mask.tif,0,0
TCGA_CS_6667_20011105_20,./archive/kaggle_3m/TCGA_DU_5871_19941206/TCGA_DU_5871_19941206_1.tif,./archive/kaggle_3m/TCGA_DU_5871_19941206/TCGA_DU_5871_19941206_1_mask.tif,0,0
TCGA_CS_6667_20011105_19,./archive/kaggle_3m/TCGA_HT_8105_19980826/TCGA_HT_8105_19980826_1.tif,./archive/kaggle_3m/TCGA_HT_8105_19980826/TCGA_HT_8105_19980826_1_mask.tif,0,0
TCGA_CS_6667_20011105_18,./archive/kaggle_3m/TCGA_DU_6401_19831001/TCGA_DU_6401_19831001_1.tif,./archive/kaggle_3m/TCGA_DU_6401_19831001/TCGA_DU_6401_19831001_1_mask.tif,0,0
TCGA_CS_6667_20011105_5,./archive/kaggle_3m/TCGA_FG_6692_20020606/TCGA_FG_6692_20020606_1.tif,./archive/kaggle_3m/TCGA_FG_6692_20020606/TCGA_FG_6692_20020606_1_mask.tif,0,0
TCGA_CS_6667_20011105_4,./archive/kaggle_3m/TCGA_HT_A616_19991226/TCGA_HT_A616_19991226_1.tif,./archive/kaggle_3m/TCGA_HT_A616_19991226/TCGA_HT_A616_19991226_1_mask.tif,0,0
TCGA_CS_6667_20011105_6,./archive/kaggle_3m/TCGA_FG_7634_20000128/TCGA_FG_7634_20000128_1.tif,./archive/kaggle_3m/TCGA_FG_7634_20000128/TCGA_FG_7634_20000128_1_mask.tif,0,0
TCGA_CS_6667_20011105_7,./archive/kaggle_3m/TCGA_DU_7306_19930512/TCGA_DU_7306_19930512_1.tif,./archive/kaggle_3m/TCGA_DU_7306_19930512/TCGA_DU_7306_19930512_1_mask.tif,0,0
TCGA_CS_6667_20011105_3,./archive/kaggle_3m/TCGA_DU_A5TP_19970614/TCGA_DU_A5TP_19970614_1.tif,./archive/kaggle_3m/TCGA_DU_A5TP_19970614/TCGA_DU_A5TP_19970614_1_mask.tif,0,0
TCGA_CS_6667_20011105_2,./archive/kaggle_3m/TCGA_HT_8113_19930809/TCGA_HT_8113_19930809_1.tif,./archive/kaggle_3m/TCGA_HT_8113_19930809/TCGA_HT_8113_19930809_1_mask.tif,0,0
TCGA_CS_6667_20011105_1,./archive/kaggle_3m/TCGA_HT_7605_19950916/TCGA_HT_7605_19950916_1.tif,./archive/kaggle_3m/TCGA_HT_7605_19950916/TCGA_HT_7605_19950916_1_mask.tif,0,0
TCGA_DU_8164_19970111_22,./archive/kaggle_3m/TCGA_DU_A5TY_19970709/TCGA_DU_A5TY_19970709_1.tif,./archive/kaggle_3m/TCGA_DU_A5TY_19970709/TCGA_DU_A5TY_19970709_1_mask.tif,0,0
TCGA_DU_8164_19970111_36,./archive/kaggle_3m/TCGA_HT_7860_19960513/TCGA_HT_7860_19960513_1.tif,./archive/kaggle_3m/TCGA_HT_7860_19960513/TCGA_HT_7860_19960513_1_mask.tif,0,0
TCGA_DU_8164_19970111_37,./archive/kaggle_3m/TCGA_HT_8114_19981030/TCGA_HT_8114_19981030_1.tif,./archive/kaggle_3m/TCGA_HT_8114_19981030/TCGA_HT_8114_19981030_1_mask.tif,0,0
TCGA_DU_8164_19970111_23,./archive/kaggle_3m/TCGA_DU_8165_19970205/TCGA_DU_8165_19970205_1.tif,./archive/kaggle_3m/TCGA_DU_8165_19970205/TCGA_DU_8165_19970205_1_mask.tif,0,0
TCGA_DU_8164_19970111_35,./archive/kaggle_3m/TCGA_DU_A5TW_19980228/TCGA_DU_A5TW_19980228_1.tif,./archive/kaggle_3m/TCGA_DU_A5TW_19980228/TCGA_DU_A5TW_19980228_1_mask.tif,0,0
TCGA_DU_8164_19970111_21,./archive/kaggle_3m/TCGA_DU_6400_19830518/TCGA_DU_6400_19830518_1.tif,./archive/kaggle_3m/TCGA_DU_6400_19830518/TCGA_DU_6400_19830518_1_mask.tif,0,0
TCGA_DU_8164_19970111_20,./archive/kaggle_3m/TCGA_HT_7608_19940304/TCGA_HT_7608_19940304_1.tif,./archive/kaggle_3m/TCGA_HT_7608_19940304/TCGA_HT_7608_19940304_1_mask.tif,0,0
TCGA_DU_8164_19970111_34,./archive/kaggle_3m/TCGA_HT_8563_19981209/TCGA_HT_8563_19981209_1.tif,./archive/kaggle_3m/TCGA_HT_8563_19981209/TCGA_HT_8563_19981209_1_mask.tif,0,0
